City ID,City Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
3393115,Paracuru,BR,-3.41,-39.03,26,88,40,3.6,1585384279
2264557,Ponta do Sol,PT,32.67,-17.1,15,77,40,2.6,1585384374
3576663,Laborie,LC,13.75,-60.98,23.89,75,3,1.79,1585384374
6111862,Port Hardy,CA,50.7,-127.42,7,93,75,2.6,1585384374
2191562,Dunedin,NZ,-45.87,170.5,10.56,71,68,2.17,1585384137
4020109,Atuona,PF,-9.8,-139.03,27.52,75,38,7.87,1585384375
3372707,Ribeira Grande,PT,38.52,-28.7,13,87,75,3.6,1585384375
3430863,Mar del Plata,AR,-38,-57.56,20,100,90,1.5,1585384140
2246901,Oussouye,SN,12.48,-16.55,22,73,74,3.1,1585384376
6167817,Torbay,CA,47.67,-52.73,0.56,96,90,6.2,1585384376
2155415,New Norfolk,AU,-42.78,147.06,22,46,65,6.2,1585384376
215605,Kabare,CD,-2.47,28.82,20.02,54,96,1.21,1585384376
2729907,Longyearbyen,SJ,78.22,15.64,-18,59,75,8.2,1585384376
4898433,Kewanee,US,41.25,-89.92,12.22,100,90,6.7,1585384377
2456917,Goundam,ML,16.41,-3.67,34.6,11,68,5.47,1585384377
2092164,Lorengau,PG,-2.02,147.27,28.46,77,45,2.42,1585384377
2094027,Kieta,PG,-6.22,155.63,27.57,78,100,2.33,1585384377
3533556,Zaza del Medio,CU,22,-79.37,18.71,91,0,2.39,1585384378
6185377,Yellowknife,CA,62.46,-114.35,-26.67,68,5,2.1,1585384378
108410,Riyadh,SA,24.69,46.72,33,16,90,3.6,1585384220
2399697,Libreville,GA,0.39,9.45,30,74,20,1,1585384182
3445026,Vila Velha,BR,-20.33,-40.29,21.67,94,40,2.69,1585384378
5861897,Fairbanks,US,64.84,-147.72,-16,54,1,4.1,1585384260
3366880,Hermanus,ZA,-34.42,19.23,20,79,9,2.24,1585384379
4986020,Big Rapids,US,43.7,-85.48,6.11,86,90,2.6,1585384379
546105,Nikolskoye,RU,59.7,30.79,9,34,11,4,1585384379
2450173,Taoudenni,ML,22.68,-3.98,27.7,23,34,1.63,1585384379
6137462,Saint-Augustin,CA,51.23,-58.65,0.06,97,100,0.68,1585384380
5746545,Portland,US,45.52,-122.68,8.33,87,90,3.1,1585384161
5563839,Fortuna,US,40.6,-124.16,9,93,90,3.16,1585384380
1244926,Hambantota,LK,6.12,81.12,34,49,40,3.1,1585384380
2122090,Pevek,RU,69.7,170.31,-15.82,82,47,6.02,1585384381
110690,Faya,SA,18.39,42.45,23,38,99,9.3,1585384381
2109528,Buala,SB,-8.14,159.59,27.49,80,94,2.89,1585384381
2209055,Waddān,LY,29.16,16.14,24.07,18,9,5.83,1585384381
2447513,Arlit,NE,18.74,7.39,33.39,8,45,3.97,1585384382
2160735,Lakes Entrance,AU,-37.88,147.98,19.92,64,10,4.71,1585384382
3397967,Itaituba,BR,-4.28,-55.98,23.1,90,100,0.71,1585384382
2685750,Östersund,SE,63.18,14.64,0,63,20,8.7,1585384382
1486321,Yar-Sale,RU,66.83,70.83,-2.79,96,58,4.46,1585384383
5557293,Sitka,US,57.05,-135.33,1,96,90,1.5,1585384383
172515,Abu Samrah,SY,35.3,37.18,18.91,41,90,7.24,1585384383
2110227,Butaritari,KI,3.07,172.79,27.68,82,97,8.28,1585384383
3837702,San Fernando del Valle de Catamarca,AR,-28.47,-65.79,20,86,4,0.89,1585384384
1812754,Dingtao,CN,35.07,115.56,14.08,32,98,2.39,1585384384
2156643,Mount Gambier,AU,-37.83,140.77,28,39,100,3.1,1585384384
3652764,Puerto Ayora,EC,-0.74,-90.35,23.89,84,1,0.89,1585384384
3421982,Maniitsoq,GL,65.42,-52.9,-2.73,97,100,4.04,1585384384
964406,Port Shepstone,ZA,-30.74,30.45,25.2,56,12,8.24,1585384385
6050066,La Ronge,CA,55.1,-105.28,-4,92,90,3.6,1585384385
3383427,Nieuw Nickerie,SR,5.95,-56.98,25.46,85,71,3.37,1585384385
1855342,Nishihara,JP,26.18,127.76,24,94,90,5.7,1585384386
3347719,Luena,AO,-11.78,19.92,21,94,40,2.21,1585384180
3374210,São Filipe,CV,14.9,-24.5,20.69,74,57,7.36,1585384386
2077895,Alice Springs,AU,-23.7,133.88,34,16,0,4.1,1585384386
3421319,Nuuk,GL,64.18,-51.72,-2,92,100,7.7,1585384386
3733861,Curillo,CO,1.03,-75.92,23.07,88,93,0.53,1585384387
2121025,Srednekolymsk,RU,67.45,153.68,-5.79,88,100,4.96,1585384387
6170031,Tuktoyaktuk,CA,69.45,-133.04,-28.26,88,83,4.41,1585384387
2449066,Tombouctou,ML,20,-3,30.45,15,100,2.61,1585384388
2126199,Cherskiy,RU,68.75,161.3,-8.51,87,100,8.32,1585384388
3466704,Castro,BR,-24.79,-50.01,14.66,70,74,2.61,1585384388
492944,Sim,RU,54.99,57.7,2.03,82,100,2.91,1585384389
1214488,Meulaboh,ID,4.14,96.13,29.55,75,79,3.13,1585384389
2030065,Mandalgovi,MN,45.76,106.27,5.62,24,0,8.08,1585384389
5282297,Bethel,US,41.37,-73.41,8.33,60,1,2.1,1585384292
2381334,Atar,MR,20.52,-13.05,19.25,36,92,5.8,1585384389
2742416,Barcelos,PT,41.54,-8.62,12.22,61,92,3.6,1585384390
2446796,Bilma,NE,18.69,12.92,32.05,10,85,5.29,1585384170
527321,Mezen',RU,65.85,44.24,2.03,96,100,4.06,1585384390
4231997,Avera,US,33.19,-82.53,21.11,90,1,2.1,1585384390
2449893,Tessalit,ML,20.2,1.01,31.75,10,6,4.61,1585384391
3839307,Rawson,AR,-43.3,-65.1,17.26,58,0,5.55,1585384391
2013279,Vostok,RU,46.49,135.88,-6.94,87,100,4.52,1585384391
